ano,titulo,autores,link,motivo,resumo_pt,veredito_dc,explicacao_dc
2026,Multimodal deep learning for breast tumor classification: Integrating mammography and ultrasound for enhanced diagnostic accuracy.,"Yan Y, Xu Y, Fang G, He X, Qian Y, Zhu W",https://pubmed.ncbi.nlm.nih.gov/41549611/,"O estudo utiliza uma abordagem multimodal que combina mamografia e ultrassom, o que não atende aos critérios de inclusão que exigem o uso exclusivo de mamografia.","O estudo desenvolveu um modelo de aprendizado profundo multimodal que combina mamografia e ultrassom para classificar tumores mamários. A pesquisa analisou 663 pacientes e obteve uma AUC de 87,9%, superando modelos de modalidade única. O modelo demonstrou potencial para melhorar a precisão na classificação de lesões mamárias e reduzir biópsias desnecessárias.",include,"O estudo utiliza mamografia em combinação com ultrassom, o que não viola os critérios de inclusão, pois a mamografia está presente. Portanto, deve ser incluído."
2026,A new time-decay radiomics integrated network (TRINet) for breast cancer risk prediction.,"Yeoh HH, Strand F, Phan R, Rahmat K, Tan M",https://pubmed.ncbi.nlm.nih.gov/41075448/,O estudo se concentra em previsão de risco de câncer de mama e não menciona a aplicação de algoritmos de Deep Learning diretamente em imagens de mamografia para detecção de câncer.,"O estudo propõe uma nova arquitetura de deep learning chamada TRINet para prever o risco de câncer de mama, integrando características radiômicas e um framework de aprendizado baseado em atenção. Os resultados mostram AUCs comparáveis a modelos de ponta, mas não se foca na detecção de câncer a partir de mamografias.",include,"Embora o foco principal do estudo seja a previsão de risco, ele utiliza uma arquitetura de Deep Learning que integra características radiômicas e menciona a aplicação em mamografias, o que pode ser relevante para a detecção de câncer de mama."
2026,Model uncertainty estimates for deep learning mammographic density prediction using ordinal and classification approaches.,"Squires S, Kuling G, Evans DG, Martel AL, Astley SM",https://pubmed.ncbi.nlm.nih.gov/41554181/,"O estudo foca na previsão da densidade mamográfica e não na detecção de câncer de mama, não atendendo ao critério de desfechos relevantes.","O estudo analisa a previsão da densidade mamográfica usando modelos de deep learning, com foco em estimativas de incerteza. Foram utilizados dados de mais de 150.000 imagens de mamografia para treinar modelos de classificação e ordinal. Os resultados mostram que as estimativas de incerteza podem ser produzidas sem perda de desempenho preditivo, mas não abordam a detecção de câncer de mama.",uncertain,"Embora o foco principal do estudo seja a previsão da densidade mamográfica, a densidade mamográfica está associada ao risco de câncer de mama, o que pode ser relevante para a detecção. A exclusão parece exagerada, pois o artigo pode contribuir para a compreensão do risco de câncer."
2026,Enhancing breast positioning quality through real-time AI feedback.,"Sexauer R, Riehle F, Borkowski K, Ruppert C, Potthast S, Schmidt N",https://pubmed.ncbi.nlm.nih.gov/40664864/,"O estudo foca na melhoria da qualidade da mamografia através de feedback em tempo real da IA, mas não utiliza algoritmos de Deep Learning para a detecção de câncer de mama, apenas para avaliação de qualidade.","O estudo avaliou o impacto de um software de IA na qualidade da mamografia, mostrando uma melhoria significativa na qualidade das imagens e redução de mamografias inadequadas. Foram analisadas 4577 mamografias de 1220 mulheres, com resultados indicando uma diminuição de imagens inadequadas de 13,31% para 3,20%. O foco do estudo é na qualidade da imagem, não na detecção de câncer.",include,"Embora o foco principal do estudo seja a melhoria da qualidade da mamografia, ele envolve a aplicação de IA em um contexto relevante para o rastreamento de câncer de mama, o que justifica sua inclusão na revisão."
2026,"An economic scenario analysis of implementing artificial intelligence in BreastScreen Norway-Impact on radiologist person-years, costs and effects.","Moger TA, Nardin SB, Holen ÅS, Moshina N, Hofvind S",https://pubmed.ncbi.nlm.nih.gov/40924825/,"O estudo não envolve diretamente a aplicação de algoritmos de Deep Learning em mamografias, mas sim uma análise de custo-efetividade de IA como ferramenta de suporte à decisão.","O estudo analisa a viabilidade econômica da implementação de inteligência artificial no programa de rastreamento do câncer de mama na Noruega, focando em custos e tempo para radiologistas. Os resultados indicam que a IA pode ser custo-efetiva se houver uma redução de 5% na taxa de câncer de intervalo. No entanto, não se trata de um estudo que utiliza Deep Learning em mamografias.",uncertain,"Embora o estudo não descreva a aplicação direta de algoritmos de Deep Learning, ele investiga o uso de IA como suporte à decisão em um contexto de rastreamento de câncer de mama, o que pode ser relevante. A exclusão parece exagerada, pois a análise de custo-efetividade pode ter implicações importantes para a implementação de IA na prática clínica."
2026,Generating synthetic CEM from low-energy images using deep learning: A future without contrast media? A proof-of-concept study.,"Zormpas-Petridis K, Kalantar R, Iaccarino L, Mancino M, Franceschini G, Clauser P, Longo V, Sala E, Belli P, D'Angelo A",https://pubmed.ncbi.nlm.nih.gov/41838331/,"O estudo utiliza apenas mamografia espectral (CEM) e não envolve mamografia digital convencional ou tomossíntese, violando o critério de população.","O estudo investiga a geração de mamografias sintéticas aprimoradas por contraste usando deep learning a partir de imagens de mamografia contrastada de baixa energia. Um modelo de rede adversarial generativa foi treinado e validado, mostrando alta correlação entre as imagens sintéticas e as clínicas. Os resultados indicam que as imagens sintéticas podem ser usadas para detecção de lesões e avaliação de parênquima mamário sem a necessidade de contraste.",include,"O estudo utiliza deep learning em mamografia espectral (CEM), que é uma modalidade relevante para a revisão, e envolve a população de mulheres com câncer de mama, portanto, não deve ser excluído com base nos critérios de população."
2026,Assessing the robustness of AI lesion risk scores at different exposure settings using an anthropomorphic breast phantom.,"Alström L, Bjerkén A, Dahlblom V, Timberg P, Dustler M, Tingberg A",https://pubmed.ncbi.nlm.nih.gov/41821441/,"O estudo utiliza um fantoma antropomórfico e não envolve mulheres reais submetidas a mamografia, o que não atende ao critério de população.","O estudo avaliou a robustez de escores de risco de lesões fornecidos por um sistema de IA em mamografia digital, variando as condições de exposição. Utilizou um fantoma antropomórfico para simular lesões e analisou a correlação entre os escores de risco e as condições de exposição. Os resultados mostraram variabilidade nos escores de risco em diferentes configurações de imagem.",uncertain,"Embora o estudo utilize um fantoma antropomórfico, ele investiga a performance de um sistema de IA em mamografia digital, o que pode ser relevante para a aplicação clínica. A exclusão parece exagerada, pois o foco na tecnologia de IA ainda se alinha com os critérios de intervenção e desfechos."
2025,A multimodal machine learning model for the stratification of breast cancer risk.,"Qian X, Pei J, Han C, Liang Z, Zhang G, Chen N, Zheng W, Meng F, Yu D, Chen Y, Sun Y, Zhang H, Qian W, Wang X, Er Z, Hu C, Zheng H, Shen D",https://pubmed.ncbi.nlm.nih.gov/39633027/,"O estudo utiliza apenas ultrassom e mamografia, mas não se concentra exclusivamente em mamografia digital ou técnicas de deep learning aplicadas a mamografia.","O estudo desenvolve um modelo de aprendizado de máquina multimodal que combina mamografia e ultrassom para estratificação do risco de câncer de mama. O modelo foi testado em um grande conjunto de dados e apresentou desempenho semelhante ao de radiologistas experientes na classificação de tumores. No entanto, a inclusão do ultrassom como modalidade principal não atende aos critérios de inclusão.",include,"Embora o estudo utilize ultrassom, ele também inclui mamografia e aplica modelos de machine learning, o que pode ser relevante para a revisão, especialmente considerando a comparação com radiologistas."
2025,Mammo-AGE: deep learning estimation of breast age from mammograms.,"Wang X, Tan T, Gao Y, Zhou HY, Zhang T, Han L, Portaluri A, Marcus E, Lu C, Drukker CA, Teuwen J, Beets-Tan R, Wang S, Karssemeijer N, Mann R",https://pubmed.ncbi.nlm.nih.gov/41360762/,"O estudo foca na estimativa da idade biológica da mama usando mamografias saudáveis, sem abordar diretamente a detecção de câncer de mama.","O estudo propõe um modelo de deep learning para estimar a idade biológica da mama a partir de mamografias saudáveis. O modelo foi validado em grandes conjuntos de dados e mostrou correlação com a idade cronológica, mas não se concentra na detecção de câncer de mama. Embora tenha implicações para o risco de câncer, não atende ao critério de desfechos relacionados à detecção de câncer.",include,"Embora o foco principal do estudo seja a estimativa da idade biológica, ele também aborda a relação entre a idade da mama e o risco de câncer, o que é relevante para a detecção de câncer de mama e se alinha com os critérios de inclusão."
2025,A deep learning-based multimodal medical imaging model for breast cancer screening.,"Chen J, Pan T, Zhu Z, Liu L, Zhao N, Feng X, Zhang W, Wu Y, Cai C, Luo X, Lin B, Wang X, Ye Q, Gao R, Zhou Z, Beatson R, Tang J, Ming R, Wang D, Deng J, Zhou G",https://pubmed.ncbi.nlm.nih.gov/40287494/,"O estudo utiliza imagens de ultrassom juntamente com mamografia, o que não atende aos critérios de inclusão que exigem o uso exclusivo de mamografia.","O estudo explora modelos de previsão de câncer de mama baseados em imagens médicas multimodais, incluindo mamografia e ultrassom. Foram coletadas imagens de 790 pacientes e comparados modelos de classificação de deep learning. Os resultados mostraram que o modelo multimodal superou os modelos unimodais em várias métricas de desempenho, como AUC e precisão.",include,"O estudo utiliza mamografia em conjunto com ultrassom, mas ainda atende aos critérios de inclusão, pois a mamografia é uma das modalidades permitidas. A exclusão foi baseada em uma interpretação errônea dos critérios."
