ano,titulo,autores,link,motivo,resumo_pt,veredito_dc,explicacao_dc
2024,Artificial Intelligence for Breast Cancer Screening: Trade-offs between Sensitivity and Specificity.,"Bahl M, Do S",https://pubmed.ncbi.nlm.nih.gov/38717286/,"O resumo não está disponível, o que impede a avaliação completa dos critérios de inclusão e exclusão.",Resumo do artigo não disponível.,,
2024,Integrating Clinical Workflow for Breast Cancer Screening with AI.,"Lee, Hoyeon",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11427922,"O resumo não está disponível, o que impede a avaliação completa dos critérios de inclusão e exclusão.",Resumo do artigo não disponível.,,
2024,Patient Characteristics Impact False Positives in AI Interpretation of True-Negative Screening Breast Tomosynthesis Examinations.,"Homsi, Nour, Chung, Maggie",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11443469,"O resumo não está disponível, o que impede a avaliação completa dos critérios de inclusão e exclusão.",Resumo não disponível para avaliação.,,
2024,Screening Mammography with AI and Supplemental Breast US: Current Status.,"Whitman, Gary J, Destounis, Stamatia V",https://dx.doi.org/10.1148/radiol.241362,"O resumo não está disponível, o que impede a avaliação completa dos critérios de inclusão e exclusão.",Não foi possível obter informações sobre o conteúdo do artigo devido à ausência do resumo.,,
2024,Clinical Implementation of AI in Screening Mammography: The Essential Role of Prospective Evaluation.,"Lee, Amie Y, Friedewald, Sarah M",https://dx.doi.org/10.1148/radiol.241124,"O resumo não está disponível, o que impede a avaliação completa dos critérios de inclusão e exclusão.",Resumo do artigo não disponível.,,
2024,Assessment of AI Risk Scores on Screening Mammograms Preceding Breast Cancer Diagnosis.,"Mittal, Sneha, Chung, Maggie",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148816,"O resumo não está disponível, o que impede a avaliação completa dos critérios de inclusão e exclusão.",Não foi possível obter um resumo do artigo devido à falta de informações no abstract.,,
2024,AI Improves Cancer Detection and Reading Time of Digital Breast Tomosynthesis.,"Bae, Min Sun",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11140501,"O resumo não está disponível, o que impede a avaliação completa dos critérios de inclusão e exclusão.",Resumo do artigo não disponível.,,
2024,The impact of AI implementation in mammographic screening: redefining dense breast screening practices.,"Bitencourt, Almir G V",https://dx.doi.org/10.1007/s00330-024-10761-0,"O resumo não está disponível, o que impede a avaliação completa dos critérios de inclusão e exclusão.",Não foi possível obter um resumo do artigo devido à falta de informações no abstract.,,
2024,Artificial Intelligence in Breast Imaging Daily Clinical Practice: Point-Reshaping Breast Cancer Screening.,"Gastounioti, Aimilia, Kontos, Despina",https://dx.doi.org/10.2214/AJR.24.31174,"O resumo não está disponível, o que impede a avaliação completa dos critérios de inclusão e exclusão.",Resumo do artigo não disponível.,,
2023,"Leveraging Differences in AI and Human ""Vision"" to Improve Breast Cancer Detection.","Mehta, Tejas S",https://dx.doi.org/10.1148/radiol.232520,"O resumo não está disponível, o que impede a avaliação completa dos critérios de inclusão e exclusão.",Resumo do artigo não disponível.,,
2023,Standalone AI in Breast Cancer Screening: Where We Are and What Is to Be Achieved.,"Scaranelo, Anabel M",https://dx.doi.org/10.1148/radiol.230935,"O resumo não está disponível, o que impede a avaliação completa dos critérios de inclusão e exclusão.",Não foi possível obter um resumo do artigo devido à falta de informações no abstract.,,
2021,Artificial Intelligence Support for Mammography: In-Practice Clinical Experience.,"Tartar M, Le L, Watanabe AT, Enomoto AJ",https://pubmed.ncbi.nlm.nih.gov/34624235/,"O resumo não está disponível, o que impede a avaliação completa dos critérios de inclusão e exclusão.",Não foi possível obter um resumo do artigo devido à falta de informações no abstract.,,
2021,Using Single-View Wide-Angle DBT with AI for Breast Cancer Screening.,"Chan, Heang-Ping, Helvie, Mark A",https://dx.doi.org/10.1148/radiol.2021211203,"O resumo não está disponível, o que impede a avaliação completa dos critérios de inclusão e exclusão.",Não foi possível obter informações sobre o conteúdo do artigo devido à ausência do resumo.,,
