ano,titulo,autores,link,motivo,resumo_pt,veredito_dc,explicacao_dc
2026,Long-Term Outcomes and Cost-Effectiveness of Artificial Intelligence for Breast Cancer Screening: A Modeling Study.,"Andersen M, Kunst N, Richman IB",https://pubmed.ncbi.nlm.nih.gov/40983310/,"O estudo avalia a eficácia de um produto de IA em mamografia digital (DBT) e reporta métricas de desempenho, como redução de falsos negativos e positivos, além de resultados de custo-efetividade.","O estudo modelou os resultados a longo prazo e a custo-efetividade da triagem de câncer de mama assistida por IA, utilizando o produto Saige-Dx em mamografia digital por tomossíntese (DBT). Os resultados mostraram uma redução modesta em mortes por câncer de mama, mas a triagem com IA não foi considerada custo-efetiva nas condições atuais.",,
2026,Contrast-Enhanced Mammography and Deep Learning-Derived Malignancy Scoring in Breast Cancer Molecular Subtype Assessment.,"Ferenčaba AO, Galić D, Ivanac G, Kralik K, Smolić M, Steiner J, Pedišić I, Bojanic K",https://pubmed.ncbi.nlm.nih.gov/41597401/,"O estudo utiliza mamografia com contraste e algoritmos de Deep Learning para avaliar lesões malignas, reportando métricas de desempenho como AUC.","O estudo analisou 399 mulheres com mamografias de rastreamento e lesões malignas, utilizando mamografia com contraste e um sistema de pontuação de malignidade derivado de Deep Learning. Os resultados mostraram um AUC de 0.744, indicando um bom desempenho diagnóstico. O estudo sugere que a mamografia com contraste pode melhorar a caracterização de lesões e a estratificação de risco no diagnóstico do câncer de mama.",,
2026,Breast Cancer Detection in Mammography Images Using Transfer Learning Model.,"K R, S K M",https://pubmed.ncbi.nlm.nih.gov/41416718/,"O estudo utiliza um modelo de Transfer Learning com CNNs aplicadas a imagens de mamografia, reportando métricas de performance como acurácia, sensibilidade e especificidade.","Este estudo investiga a detecção de câncer de mama em imagens de mamografia utilizando um modelo de Transfer Learning. Um CNN pré-treinado foi ajustado para classificar imagens em benignas ou malignas, apresentando resultados promissores em termos de acurácia e capacidade de generalização. As métricas de desempenho foram avaliadas, destacando a eficácia do modelo na detecção precoce do câncer de mama.",,
2026,"Interval cancer, sensitivity, and specificity comparing AI-supported mammography screening with standard double reading without AI in the MASAI study: a randomised, controlled, non-inferiority, single-blinded, population-based, screening-accuracy trial.","Gommers J, Hernström V, Josefsson V, Sartor H, Schmidt D, Hjelmgren A, Larsson AM, Hofvind S, Andersson I, Rosso A, Hagberg O, Lång K",https://pubmed.ncbi.nlm.nih.gov/41620232/,"O estudo compara a mamografia com suporte de IA à leitura dupla padrão, reportando métricas de sensibilidade e especificidade, além de envolver mulheres em rastreamento de câncer de mama.","O estudo avaliou a taxa de câncer intervalar em mamografias com suporte de IA em comparação com a leitura dupla padrão. Com 105.934 mulheres, os resultados mostraram que a sensibilidade foi maior no grupo com IA (80,5%) em comparação ao controle (73,8%), enquanto a especificidade foi equivalente (98,5%). Os achados sugerem que a mamografia com IA pode melhorar o desempenho do rastreamento.",,
2026,Breast cancer risk assessment for screening: a hybrid artificial intelligence approach.,"Tendero R, Larroza A, Pérez-Benito FJ, Perez-Cortes JC, Román M, Llobet R",https://pubmed.ncbi.nlm.nih.gov/40935875/,"O estudo utiliza uma abordagem de inteligência artificial híbrida, incluindo dados clínicos e características mamográficas, e reporta métricas de desempenho como AUC, atendendo aos critérios de inclusão.","Este estudo avaliou se a integração de dados clínicos com características mamográficas usando inteligência artificial melhora a previsão de risco de câncer de mama em 2 anos. Um modelo híbrido alcançou uma AUC de 0,75, superando modelos que utilizavam apenas um tipo de dado. Os resultados indicam que essa abordagem pode otimizar estratégias de rastreamento e detecção precoce.",,
2026,Combined use of two artificial intelligence-based algorithms for mammography triaging: a retrospective simulation study.,"Kim HJ, Kim HH, Eom HJ, Choi WJ, Chae EY, Shin HJ, Cha JH",https://pubmed.ncbi.nlm.nih.gov/40839134/,"O estudo envolve mulheres submetidas a mamografias para triagem de câncer de mama, utiliza algoritmos de Deep Learning e reporta métricas de desempenho como sensibilidade e especificidade.","O estudo avaliou o uso combinado de dois algoritmos de IA para triagem de mamografias, analisando 3012 mamografias, incluindo 213 casos de câncer. Os resultados mostraram que o modo sensível alcançou 84% de sensibilidade e o modo específico 87,7% de especificidade, ambos superando a leitura manual. O uso combinado reduziu a carga de trabalho dos radiologistas.",,
2026,Deep learning model to predict Ki-67 expression of breast cancer using digital breast tomosynthesis.,"Oba K, Adachi M, Kobayashi T, Takaya E, Shimokawa D, Fukuda T, Takahashi K, Yagishita K, Ueda T, Tsunoda H",https://pubmed.ncbi.nlm.nih.gov/38448777/,"O estudo utiliza um modelo de deep learning aplicado a imagens de tomossíntese digital para prever a expressão de Ki-67 em pacientes com câncer de mama, reportando métricas de desempenho relevantes.","O estudo desenvolveu um modelo de deep learning para prever a expressão de Ki-67 em câncer de mama usando imagens de tomossíntese digital. Utilizando a arquitetura Xception, o modelo apresentou alta acurácia (0.912) e AUC (0.883). Os resultados sugerem que o modelo pode ser útil na determinação pré-operatória da estratégia de tratamento.",,
2026,Deep learning synthesis of DBT features from mammography for breast cancer diagnosis.,"Fan M, Wang L, Wang J, He S, Li Z, You C, Gu Y, Li L",https://pubmed.ncbi.nlm.nih.gov/41151435/,"O estudo utiliza Deep Learning para gerar características sintéticas de tomossíntese digital a partir de mamografias, reportando métricas de performance como AUC, o que atende aos critérios de inclusão.","Este estudo desenvolveu um modelo de aprendizado profundo para gerar características sintéticas de tomossíntese digital a partir de imagens de mamografia, visando melhorar a precisão diagnóstica do câncer de mama. O modelo alcançou uma AUC de 0.916 e demonstrou eficácia na classificação de lesões, reduzindo a exposição à radiação dos pacientes.",,
2026,Augmented intelligence for multimodal virtual biopsy in breast cancer using generative artificial intelligence.,"Rofena A, Piccolo CL, Zobel BB, Soda P, Guarrasi V",https://pubmed.ncbi.nlm.nih.gov/41456845/,"O estudo utiliza Deep Learning em mamografia digital e mamografia espectral para classificação de lesões, reportando métricas de performance relevantes.","Este estudo propõe uma abordagem de aprendizado profundo multimodal para biópsia virtual de câncer de mama, integrando mamografia digital e mamografia espectral. Utiliza um modelo generativo para sintetizar imagens de CESM quando ausentes e emprega redes neurais convolucionais para classificação. Os resultados mostram que a abordagem multimodal melhora a performance de classificação em comparação com o uso apenas de mamografia digital.",,
2026,A deep learning framework for breast cancer diagnosis using Swin Transformer and Dual-Attention Multi-scale Fusion Network.,"Aldawsari MA, Aldosari SJ, Ismail A, Emam MM",https://pubmed.ncbi.nlm.nih.gov/41813686/,"O estudo utiliza um modelo de Deep Learning (Swin Transformer e CNN) aplicado a mamografias para detecção de câncer de mama, reportando métricas de performance relevantes.","O estudo propõe uma nova arquitetura híbrida chamada Swin-DAMFN para classificação de câncer de mama em mamografias, combinando um Transformer e uma rede CNN. Os resultados mostram alta acurácia e sensibilidade em dois conjuntos de dados, demonstrando a eficácia do modelo na detecção precoce do câncer de mama.",,
2026,Breast Cancers Detected and Missed by AI-CAD: Results from the AI-STREAM Trial.,"Chang YW, Ryu JK, An JK, Choi N, Park YM, Ko KH",https://pubmed.ncbi.nlm.nih.gov/41147858/,"O estudo avalia o desempenho de um sistema de AI-CAD em mamografias, reportando métricas de sensibilidade e especificidade, além de envolver mulheres em rastreamento de câncer de mama.","O estudo analisou a eficácia do AI-CAD na detecção de câncer de mama durante a mamografia de rastreamento. Com uma amostra de 24.543 mulheres, o AI-CAD apresentou sensibilidade de 89,9% e especificidade de 94,3%. O estudo sugere que o AI-CAD pode melhorar a detecção de câncer e apoiar radiologistas na interpretação das mamografias.",,
2026,Different BI-RADS breast cancer diagnosis using MobileNetV1 and vision transformer based on explainable artificial intelligence (XAI).,"Abdelsabour I, Elgarayhi A, Sallah M, Elmogy M",https://pubmed.ncbi.nlm.nih.gov/41702964/,"O estudo utiliza uma abordagem de Deep Learning com mamografias para classificação do câncer de mama, reportando métricas de performance relevantes.","O estudo apresenta um framework híbrido de Deep Learning para classificação multi-classe do câncer de mama usando imagens mamográficas. A abordagem combina MobileNetV1 e Vision Transformer, alcançando alta acurácia, sensibilidade e especificidade acima de 99%. Técnicas de inteligência artificial explicável foram aplicadas para fornecer interpretações clínicas das imagens.",,
2026,Lesion Asymmetry Screening Assisted Global Awareness Multi-View Network for Mammogram Classification.,"Liu X, Sun L, Li C, Han B, Jiang W, Yuan T, Liu W, Liu Z, Yu Z, Liu B",https://pubmed.ncbi.nlm.nih.gov/40924534/,"O estudo utiliza um modelo de Deep Learning para análise de mamografias, reportando métricas de desempenho (AUC) e focando na detecção de câncer de mama em mulheres.","O artigo apresenta um novo framework de Deep Learning chamado LAS-GAM para diagnóstico de câncer de mama, que integra informações de múltiplas vistas de mamografias. O modelo simula o processo de análise dos radiologistas e alcançou AUCs de 0.817 e 0.894 em dois conjuntos de dados. A abordagem visa melhorar a precisão do diagnóstico e reduzir custos de anotação de dados.",,
2026,Retrospective evaluation of interval breast cancer screening mammograms by radiologists and AI.,"Subelack J, Morant R, Blum M, Gräwingholt A, Vogel J, Geissler A, Ehlig D",https://pubmed.ncbi.nlm.nih.gov/40760115/,"O estudo analisa mamografias de rastreamento de câncer de mama usando um sistema de IA, reportando métricas de desempenho e resultados relevantes para a detecção de câncer de intervalo.","O estudo avaliou mamografias de rastreamento de câncer de mama em um programa suíço, utilizando um sistema de IA para identificar riscos de câncer em mamografias de câncer de intervalo. Os resultados mostraram que a IA conseguiu classificar mamografias com maior risco de câncer, especialmente em casos potencialmente perdidos, sugerindo uma melhoria na qualidade do rastreamento mamográfico.",,
2026,Morphological and textural descriptors analysis of digital mammograms with radiological findings to support breast cancer detection using artificial neural networks.,"Trujillo-Zamudio FE, Palma-Garzón MV, Hernández-Campos ME, León-Marroquín EY, Márquez-Flores JA",https://pubmed.ncbi.nlm.nih.gov/41418324/,"O estudo utiliza mamografias digitais e algoritmos de redes neurais artificiais para detecção de câncer de mama, reportando métricas de performance como AUC e F1-score.","O estudo analisa mamografias digitais utilizando descritores morfológicos e texturais com redes neurais artificiais para detectar câncer de mama. Foram analisadas 216 mamografias de um hospital e 33 de um instituto de câncer, reportando um AUC de 0.953 nos testes internos, embora os resultados externos tenham sido significativamente mais baixos. Os autores destacam a necessidade de mais trabalho para melhorar a aplicabilidade clínica.",,
