rayyan_id,decisao,decisao_final_dc,concorda_dc,ano,titulo,autores,journal,doi,link,motivo,resumo_pt,criterios_violados,explicacao_dc
493927740,exclude,include,NÃO,2026,Multimodal deep learning for breast tumor classification: Integrating mammography and ultrasound for enhanced diagnostic accuracy.,"Yan Y, Xu Y, Fang G, He X, Qian Y, Zhu W","Journal of applied clinical medical physics - Volume 27, Issue 1, pp. e70464 - published 2026-01-01",10.1002/acm2.70464,https://pubmed.ncbi.nlm.nih.gov/41549611/,"O estudo utiliza uma abordagem multimodal que combina mamografia e ultrassom, o que não atende aos critérios de inclusão que exigem o uso exclusivo de mamografia.","O estudo desenvolveu um modelo de aprendizado profundo multimodal que combina mamografia e ultrassom para classificar tumores mamários. A pesquisa analisou 663 pacientes e obteve uma AUC de 87,9%, superando modelos de modalidade única. O modelo demonstrou potencial para melhorar a precisão na classificação de lesões mamárias e reduzir biópsias desnecessárias.","[""Estudo utiliza apenas Ultrassom ou Ressonância Magnética (sem mamografia associada)""]","O estudo utiliza mamografia em combinação com ultrassom, o que não viola os critérios de inclusão, pois a mamografia está presente. Portanto, deve ser incluído."
493927762,exclude,exclude,sim,2026,Panoramic photoacoustic computed tomography with learning-based classification enhances breast lesion characterization.,"Tong X, Liu CZ, Luo Y, Lin L, Dzubnar J, Invernizzi M, Delos Santos S, Zhang Y, Cao R, Hu P, Zheng J, Torres J, Kasabyan A, Lai LL, Yee LD, Wang LV","Nature biomedical engineering - Volume 10, Issue 1, pp. 161-177 - published 2026-01-01",10.1038/s41551-025-01435-3,https://pubmed.ncbi.nlm.nih.gov/40555759/,"O estudo utiliza Tomografia Computacional Fotoacústica (PACT), que não é uma modalidade de mamografia.","O estudo apresenta uma nova abordagem utilizando Tomografia Computacional Fotoacústica (PACT) para caracterização de lesões mamárias, desenvolvendo classificadores baseados em aprendizado para distinguir entre tecidos normais e suspeitos. Os resultados mostram uma área sob a curva de 0,89, comparável aos padrões de imagem convencionais. No entanto, a PACT não é uma forma de mamografia.","[""Outras Modalidades: estudo não utiliza mamografia""]","A exclusão está correta, pois o estudo utiliza Tomografia Computacional Fotoacústica (PACT), que não se enquadra nas modalidades de mamografia especificadas nos critérios de inclusão."
493927876,exclude,include,NÃO,2026,A new time-decay radiomics integrated network (TRINet) for breast cancer risk prediction.,"Yeoh HH, Strand F, Phan R, Rahmat K, Tan M","Medical image analysis - Volume 107, Issue 0, pp. 103829 - published 2026-01-01",10.1016/j.media.2025.103829,https://pubmed.ncbi.nlm.nih.gov/41075448/,O estudo se concentra em previsão de risco de câncer de mama e não menciona a aplicação de algoritmos de Deep Learning diretamente em imagens de mamografia para detecção de câncer.,"O estudo propõe uma nova arquitetura de deep learning chamada TRINet para prever o risco de câncer de mama, integrando características radiômicas e um framework de aprendizado baseado em atenção. Os resultados mostram AUCs comparáveis a modelos de ponta, mas não se foca na detecção de câncer a partir de mamografias.","[""Falta de foco em detecção de câncer a partir de mamografias""]","Embora o foco principal do estudo seja a previsão de risco, ele utiliza uma arquitetura de Deep Learning que integra características radiômicas e menciona a aplicação em mamografias, o que pode ser relevante para a detecção de câncer de mama."
493927894,exclude,uncertain,NÃO,2026,Model uncertainty estimates for deep learning mammographic density prediction using ordinal and classification approaches.,"Squires S, Kuling G, Evans DG, Martel AL, Astley SM","Biomedical physics & engineering express - Volume 12, Issue 1, pp.  - published 2026-01-30",10.1088/2057-1976/ae39e2,https://pubmed.ncbi.nlm.nih.gov/41554181/,"O estudo foca na previsão da densidade mamográfica e não na detecção de câncer de mama, não atendendo ao critério de desfechos relevantes.","O estudo analisa a previsão da densidade mamográfica usando modelos de deep learning, com foco em estimativas de incerteza. Foram utilizados dados de mais de 150.000 imagens de mamografia para treinar modelos de classificação e ordinal. Os resultados mostram que as estimativas de incerteza podem ser produzidas sem perda de desempenho preditivo, mas não abordam a detecção de câncer de mama.","[""Desfechos não relevantes para a detecção de câncer de mama""]","Embora o foco principal do estudo seja a previsão da densidade mamográfica, a densidade mamográfica está associada ao risco de câncer de mama, o que pode ser relevante para a detecção. A exclusão parece exagerada, pois o artigo pode contribuir para a compreensão do risco de câncer."
493927955,exclude,include,NÃO,2026,Enhancing breast positioning quality through real-time AI feedback.,"Sexauer R, Riehle F, Borkowski K, Ruppert C, Potthast S, Schmidt N","European radiology - Volume 36, Issue 1, pp. 55-63 - published 2026-01-01",10.1007/s00330-025-11812-w,https://pubmed.ncbi.nlm.nih.gov/40664864/,"O estudo foca na melhoria da qualidade da mamografia através de feedback em tempo real da IA, mas não utiliza algoritmos de Deep Learning para a detecção de câncer de mama, apenas para avaliação de qualidade.","O estudo avaliou o impacto de um software de IA na qualidade da mamografia, mostrando uma melhoria significativa na qualidade das imagens e redução de mamografias inadequadas. Foram analisadas 4577 mamografias de 1220 mulheres, com resultados indicando uma diminuição de imagens inadequadas de 13,31% para 3,20%. O foco do estudo é na qualidade da imagem, não na detecção de câncer.","[""falta de foco na detecção de câncer de mama""]","Embora o foco principal do estudo seja a melhoria da qualidade da mamografia, ele envolve a aplicação de IA em um contexto relevante para o rastreamento de câncer de mama, o que justifica sua inclusão na revisão."
493927963,exclude,exclude,sim,2026,Interpretable machine learning for personalized breast cancer screening recommendations.,"Berry S, Görgülü B, Tunc S, Cevik M","Health care management science - Volume 29, Issue 1, pp. 4 - published 2026-02-04",10.1007/s10729-025-09746-2,https://pubmed.ncbi.nlm.nih.gov/41636932/,"O estudo não menciona o uso de mamografia ou qualquer técnica de imagem associada, focando apenas em recomendações de triagem baseadas em histórico médico e fatores de risco.","O estudo propõe uma abordagem de aprendizado de máquina para identificar recomendações de triagem personalizadas para câncer de mama, utilizando histórico médico e fatores de risco. Os modelos de aprendizado de máquina demonstraram alta precisão com complexidade computacional reduzida, mas não abordam diretamente a aplicação em mamografias.","[""Falta de dados sobre mamografia""]","A exclusão está correta, pois o estudo não menciona o uso de mamografia ou qualquer técnica de imagem associada, focando apenas em recomendações de triagem baseadas em histórico médico e fatores de risco, o que viola os critérios de inclusão."
493928030,exclude,uncertain,NÃO,2026,"An economic scenario analysis of implementing artificial intelligence in BreastScreen Norway-Impact on radiologist person-years, costs and effects.","Moger TA, Nardin SB, Holen ÅS, Moshina N, Hofvind S","Journal of medical screening - Volume 33, Issue 1, pp. 38-47 - published 2026-03-01",10.1177/09691413251372829,https://pubmed.ncbi.nlm.nih.gov/40924825/,"O estudo não envolve diretamente a aplicação de algoritmos de Deep Learning em mamografias, mas sim uma análise de custo-efetividade de IA como ferramenta de suporte à decisão.","O estudo analisa a viabilidade econômica da implementação de inteligência artificial no programa de rastreamento do câncer de mama na Noruega, focando em custos e tempo para radiologistas. Os resultados indicam que a IA pode ser custo-efetiva se houver uma redução de 5% na taxa de câncer de intervalo. No entanto, não se trata de um estudo que utiliza Deep Learning em mamografias.","[""Falta de dados sobre a aplicação de Deep Learning em mamografia""]","Embora o estudo não descreva a aplicação direta de algoritmos de Deep Learning, ele investiga o uso de IA como suporte à decisão em um contexto de rastreamento de câncer de mama, o que pode ser relevante. A exclusão parece exagerada, pois a análise de custo-efetividade pode ter implicações importantes para a implementação de IA na prática clínica."
493928045,exclude,exclude,sim,2026,Results from a Swedish model-based analysis of the cost-effectiveness of AI-assisted digital mammography.,"Lyth J, Gialias P, Husberg M, Bernfort L, Bjerner T, Wiberg MK, Levin LÅ, Gustafsson H","European radiology - Volume 36, Issue 1, pp. 754-764 - published 2026-01-01",10.1007/s00330-025-11821-9,https://pubmed.ncbi.nlm.nih.gov/40684064/,O estudo é uma análise de custo-efetividade e não apresenta dados sobre a acurácia ou métricas de performance da IA aplicada à mamografia.,"O estudo avaliou a custo-efetividade da mamografia digital assistida por IA em comparação com a mamografia convencional com leitura dupla. Utilizando um modelo de Markov, os resultados mostraram que a estratégia de IA-DM é dominante, resultando em economia de custos e ganho de anos de vida ajustados pela qualidade (QALYs). No entanto, não foram reportadas métricas de desempenho da IA.","[""Falta de Dados""]","O estudo se concentra na análise de custo-efetividade e não fornece métricas de acurácia ou desempenho da IA, violando o critério de 'Falta de Dados'."
493928063,exclude,include,NÃO,2026,Generating synthetic CEM from low-energy images using deep learning: A future without contrast media? A proof-of-concept study.,"Zormpas-Petridis K, Kalantar R, Iaccarino L, Mancino M, Franceschini G, Clauser P, Longo V, Sala E, Belli P, D'Angelo A","European radiology experimental - Volume 10, Issue 1, pp.  - published 2026-03-16",10.1186/s41747-026-00681-7,https://pubmed.ncbi.nlm.nih.gov/41838331/,"O estudo utiliza apenas mamografia espectral (CEM) e não envolve mamografia digital convencional ou tomossíntese, violando o critério de população.","O estudo investiga a geração de mamografias sintéticas aprimoradas por contraste usando deep learning a partir de imagens de mamografia contrastada de baixa energia. Um modelo de rede adversarial generativa foi treinado e validado, mostrando alta correlação entre as imagens sintéticas e as clínicas. Os resultados indicam que as imagens sintéticas podem ser usadas para detecção de lesões e avaliação de parênquima mamário sem a necessidade de contraste.","[""População: estudo apenas com mamografia espectral (CEM)""]","O estudo utiliza deep learning em mamografia espectral (CEM), que é uma modalidade relevante para a revisão, e envolve a população de mulheres com câncer de mama, portanto, não deve ser excluído com base nos critérios de população."
493928070,exclude,uncertain,NÃO,2026,Assessing the robustness of AI lesion risk scores at different exposure settings using an anthropomorphic breast phantom.,"Alström L, Bjerkén A, Dahlblom V, Timberg P, Dustler M, Tingberg A","Radiation protection dosimetry - Volume 202, Issue 3, pp. 220-228 - published 2026-03-13",10.1093/rpd/ncaf166,https://pubmed.ncbi.nlm.nih.gov/41821441/,"O estudo utiliza um fantoma antropomórfico e não envolve mulheres reais submetidas a mamografia, o que não atende ao critério de população.","O estudo avaliou a robustez de escores de risco de lesões fornecidos por um sistema de IA em mamografia digital, variando as condições de exposição. Utilizou um fantoma antropomórfico para simular lesões e analisou a correlação entre os escores de risco e as condições de exposição. Os resultados mostraram variabilidade nos escores de risco em diferentes configurações de imagem.","[""População: estudo não envolve mulheres reais""]","Embora o estudo utilize um fantoma antropomórfico, ele investiga a performance de um sistema de IA em mamografia digital, o que pode ser relevante para a aplicação clínica. A exclusão parece exagerada, pois o foco na tecnologia de IA ainda se alinha com os critérios de intervenção e desfechos."
