rayyan_id,decisao,decisao_final_double_check,concorda_dc,ano,titulo,autores,journal,doi,link,motivo,resumo_pt,criterios_violados,explicacao_dc
493923781,exclude,include,NÃO,2025,A multimodal machine learning model for the stratification of breast cancer risk.,"Qian X, Pei J, Han C, Liang Z, Zhang G, Chen N, Zheng W, Meng F, Yu D, Chen Y, Sun Y, Zhang H, Qian W, Wang X, Er Z, Hu C, Zheng H, Shen D","Nature biomedical engineering - Volume 9, Issue 3, pp. 356-370 - published 2025-03-01",10.1038/s41551-024-01302-7,https://pubmed.ncbi.nlm.nih.gov/39633027/,"O estudo utiliza apenas ultrassom e mamografia, mas não se concentra exclusivamente em mamografia digital ou técnicas de deep learning aplicadas a mamografia.","O estudo desenvolve um modelo de aprendizado de máquina multimodal que combina mamografia e ultrassom para estratificação do risco de câncer de mama. O modelo foi testado em um grande conjunto de dados e apresentou desempenho semelhante ao de radiologistas experientes na classificação de tumores. No entanto, a inclusão do ultrassom como modalidade principal não atende aos critérios de inclusão.","[""Outras Modalidades: estudo utiliza ultrassom junto com mamografia""]","Embora o estudo utilize ultrassom, ele também inclui mamografia e aplica modelos de machine learning, o que pode ser relevante para a revisão, especialmente considerando a comparação com radiologistas."
493927591,exclude,exclude,sim,2024,Cost-Effectiveness of AI for Risk-Stratified Breast Cancer Screening.,"Hill H, Roadevin C, Duffy S, Mandrik O, Brentnall A","JAMA network open - Volume 7, Issue 9, pp. e2431715 - published 2024-09-03",10.1001/jamanetworkopen.2024.31715,https://pubmed.ncbi.nlm.nih.gov/39235813/,"O estudo não envolve diretamente o uso de algoritmos de Deep Learning aplicados a imagens de mamografia, mas sim uma análise de custo-efetividade de um modelo de predição de risco.","Este estudo avaliou a custo-efetividade da incorporação de um modelo de IA para triagem estratificada de risco no programa nacional de rastreamento do câncer de mama do Reino Unido. Embora tenha mostrado que a triagem estratificada pode ser econômica e aumentar a qualidade de vida, não se concentra na aplicação de Deep Learning em mamografias.","[""Falta de dados sobre a aplicação de Deep Learning em mamografia""]","A exclusão está correta, pois o estudo se concentra na análise de custo-efetividade de um modelo de predição de risco e não aborda diretamente o uso de algoritmos de Deep Learning aplicados a imagens de mamografia, conforme os critérios de inclusão."
493927594,exclude,include,NÃO,2024,AI-based selection of individuals for supplemental MRI in population-based breast cancer screening: the randomized ScreenTrustMRI trial.,"Salim M, Liu Y, Sorkhei M, Ntoula D, Foukakis T, Fredriksson I, Wang Y, Eklund M, Azizpour H, Smith K, Strand F","Nature medicine - Volume 30, Issue 9, pp. 2623-2630 - published 2024-09-01",10.1038/s41591-024-03093-5,https://pubmed.ncbi.nlm.nih.gov/38977914/,"O estudo utiliza apenas ressonância magnética (MRI) para triagem, sem associação com mamografia, o que viola os critérios de inclusão.","O estudo ScreenTrustMRI avaliou uma ferramenta de IA para selecionar indivíduos para triagem suplementar com ressonância magnética após mamografias negativas. Embora tenha mostrado eficiência na detecção de cânceres, não envolve mamografia como modalidade principal, focando apenas em MRI. Os resultados indicam que a IA pode melhorar a detecção de cânceres em um pequeno grupo de mulheres selecionadas.","[""Outras Modalidades: Estudo que usa apenas Ressonância Magnética sem mamografia associada.""]","O estudo envolve um algoritmo de IA para triagem de câncer de mama, utilizando mamografia como parte do processo de seleção para MRI, o que o torna relevante para a revisão, apesar de focar na MRI."
493927598,exclude,exclude,sim,2023,Artificial Intelligence in Breast X-Ray Imaging.,"Vedantham S, Shazeeb MS, Chiang A, Vijayaraghavan GR","Seminars in ultrasound, CT, and MR - Volume 44, Issue 1, pp. 2-7 - published 2023-02-01",10.1053/j.sult.2022.12.002,https://pubmed.ncbi.nlm.nih.gov/36792270/,O artigo é uma revisão e não apresenta dados primários ou métricas de performance específicas sobre o uso de IA em mamografia.,"Este artigo é uma revisão sobre as aplicações da inteligência artificial na imagem de raios-X da mama, discutindo seu potencial para estimar risco de câncer e auxiliar na detecção. Embora mencione a mamografia, não apresenta dados de estudos específicos ou métricas de desempenho.","[""Tipo de publicação: revisão de literatura""]","O artigo é uma revisão de literatura, o que está claramente alinhado com os critérios de exclusão, pois não apresenta dados primários ou métricas de performance específicas."
493923773,include,,,2025,Development of a deep learning-based automated diagnostic system (DLADS) for classifying mammographic lesions - a first large-scale multi-institutional clinical trial in Japan.,"Yamaguchi T, Koyama Y, Inoue K, Ban K, Hirokaga K, Kujiraoka Y, Okanami Y, Shinohara N, Tsunoda H, Uematsu T, Mukai H","Breast cancer (Tokyo, Japan) - Volume 32, Issue 5, pp. 1115-1124 - published 2025-09-01",10.1007/s12282-025-01741-3,https://pubmed.ncbi.nlm.nih.gov/40608200/,"O estudo envolve mulheres submetidas a mamografias para diagnóstico de câncer de mama e utiliza um sistema de IA baseado em Deep Learning, reportando métricas de desempenho como sensibilidade, especificidade e AUC.","Este estudo desenvolveu um sistema automatizado de diagnóstico baseado em Deep Learning para classificar lesões mamográficas, utilizando dados de 20.638 mamografias de mulheres japonesas. O sistema alcançou uma sensibilidade de 83,5% e uma especificidade de 84,7%, com AUC de 0,841. O estudo visa validar o desempenho do sistema como suporte à decisão para médicos.",[],
493923777,include,,,2025,"Screening performance and characteristics of breast cancer detected in the Mammography Screening with Artificial Intelligence trial (MASAI): a randomised, controlled, parallel-group, non-inferiority, single-blinded, screening accuracy study.","Hernström V, Josefsson V, Sartor H, Schmidt D, Larsson AM, Hofvind S, Andersson I, Rosso A, Hagberg O, Lång K","The Lancet. Digital health - Volume 7, Issue 3, pp. e175-e183 - published 2025-03-01",10.1016/S2589-7500(24)00267-X,https://pubmed.ncbi.nlm.nih.gov/39904652/,"O estudo envolve mulheres em rastreamento de câncer de mama, utiliza um sistema de IA baseado em Deep Learning e reporta métricas de performance relevantes.","O estudo avaliou a eficácia da triagem de câncer de mama com suporte de IA em comparação com a leitura padrão. Foram incluídas 105.934 mulheres, resultando em uma maior taxa de detecção de câncer com a IA, sem aumento significativo nas taxas de falso positivo, além de uma redução na carga de trabalho de leitura. Os resultados sugerem que a IA pode melhorar a detecção precoce de câncer de mama.",[],
493927595,include,,,2025,Artificial intelligence for breast cancer screening in mammography (AI-STREAM): preliminary analysis of a prospective multicenter cohort study.,"Chang YW, Ryu JK, An JK, Choi N, Park YM, Ko KH, Han K","Nature communications - Volume 16, Issue 1, pp. 2248 - published 2025-03-06",10.1038/s41467-025-57469-3,https://pubmed.ncbi.nlm.nih.gov/40050619/,"O estudo envolve mulheres em rastreamento de câncer de mama e utiliza IA baseada em Deep Learning para comparação com radiologistas, reportando métricas de desempenho.","Este estudo avaliou a eficácia da inteligência artificial (IA) na detecção de câncer de mama em mamografias, comparando a precisão diagnóstica de radiologistas com e sem o uso de detecção assistida por IA. Com uma coorte de 24.543 mulheres, os resultados mostraram um aumento significativo nas taxas de detecção de câncer com o uso da IA, sem afetar as taxas de recall.",[],
493927596,include,,,2025,Nationwide real-world implementation of AI for cancer detection in population-based mammography screening.,"Eisemann N, Bunk S, Mukama T, Baltus H, Elsner SA, Gomille T, Hecht G, Heywang-Köbrunner S, Rathmann R, Siegmann-Luz K, Töllner T, Vomweg TW, Leibig C, Katalinic A","Nature medicine - Volume 31, Issue 3, pp. 917-924 - published 2025-03-01",10.1038/s41591-024-03408-6,https://pubmed.ncbi.nlm.nih.gov/39775040/,"O estudo envolve mulheres em rastreamento de câncer de mama e utiliza um sistema de IA baseado em Deep Learning para comparação com a leitura padrão, reportando métricas de desempenho.","O estudo PRAIM avaliou a implementação de um sistema de IA para suporte à leitura dupla em mamografias, envolvendo 463,094 mulheres. Os resultados mostraram uma taxa de detecção de câncer de mama superior no grupo com suporte de IA, sem aumento na taxa de recall. A IA melhorou as métricas de rastreamento mamográfico.",[],
493923782,include,,,2024,AsymMirai: Interpretable Mammography-based Deep Learning Model for 1-5-year Breast Cancer Risk Prediction.,"Donnelly J, Moffett L, Barnett AJ, Trivedi H, Schwartz F, Lo J, Rudin C","Radiology - Volume 310, Issue 3, pp. e232780 - published 2024-03-01",10.1148/radiol.232780,https://pubmed.ncbi.nlm.nih.gov/38501952/,"O estudo utiliza um modelo de Deep Learning aplicado a mamografias para prever o risco de câncer de mama, reportando métricas de performance como AUC, o que atende aos critérios de inclusão.","O estudo apresenta o modelo AsymMirai, um algoritmo de Deep Learning que utiliza a dissimilaridade bilateral para prever o risco de câncer de mama em 1-5 anos. Foram analisadas mamografias de 81.824 pacientes, e o modelo alcançou AUCs de 0.79 e 0.66 para previsões de 1 e 5 anos, respectivamente. Os resultados mostram que AsymMirai se aproxima do desempenho do modelo Mirai.",[],
493923776,include,,,2023,"Artificial intelligence-supported screen reading versus standard double reading in the Mammography Screening with Artificial Intelligence trial (MASAI): a clinical safety analysis of a randomised, controlled, non-inferiority, single-blinded, screening accuracy study.","Lång K, Josefsson V, Larsson AM, Larsson S, Högberg C, Sartor H, Hofvind S, Andersson I, Rosso A","The Lancet. Oncology - Volume 24, Issue 8, pp. 936-944 - published 2023-08-01",10.1016/S1470-2045(23)00298-X,https://pubmed.ncbi.nlm.nih.gov/37541274/,"O estudo envolve mulheres submetidas a rastreamento de câncer de mama e utiliza um sistema de IA baseado em Deep Learning para comparação com a leitura padrão por radiologistas, reportando métricas de desempenho.","O estudo avaliou a segurança clínica da triagem de mamografia com suporte de IA em comparação com a leitura padrão por radiologistas. Foram incluídas 80.033 mulheres, e os resultados mostraram que a triagem com IA teve uma taxa de detecção de câncer de 6,1 por 1000 participantes, semelhante à taxa de 5,1 no grupo controle, além de uma redução de 44,3% na carga de trabalho de leitura. O uso de IA foi considerado seguro.",[],
