ano,titulo,autores,journal,doi,link,motivo_exclusao,resumo_pt
2026,Panoramic photoacoustic computed tomography with learning-based classification enhances breast lesion characterization.,"Tong X, Liu CZ, Luo Y, Lin L, Dzubnar J, Invernizzi M, Delos Santos S, Zhang Y, Cao R, Hu P, Zheng J, Torres J, Kasabyan A, Lai LL, Yee LD, Wang LV","Nature biomedical engineering - Volume 10, Issue 1, pp. 161-177 - published 2026-01-01",10.1038/s41551-025-01435-3,https://pubmed.ncbi.nlm.nih.gov/40555759/,"O estudo não utiliza mamografia e se concentra em tomografia computadorizada fotoacústica, que não é uma modalidade de mamografia.","O estudo apresenta uma nova abordagem usando tomografia computadorizada fotoacústica panorâmica para caracterização de lesões mamárias, desenvolvendo classificadores baseados em aprendizado para distinguir entre tecidos normais e suspeitos. A pesquisa analisou 78 mamas em 39 pacientes, alcançando uma AUC máxima de 0,89. No entanto, não se trata de um estudo de mamografia."
2026,A new time-decay radiomics integrated network (TRINet) for breast cancer risk prediction.,"Yeoh HH, Strand F, Phan R, Rahmat K, Tan M","Medical image analysis - Volume 107, Issue 0, pp. 103829 - published 2026-01-01",10.1016/j.media.2025.103829,https://pubmed.ncbi.nlm.nih.gov/41075448/,"O estudo utiliza exclusivamente conjuntos de dados públicos (EMBED e CSAW) sem validação em coorte clínica real, o que não atende aos critérios de inclusão.","O estudo propõe uma nova arquitetura de deep learning chamada TRINet para previsão de risco de câncer de mama, integrando características radiômicas e um framework de aprendizado de múltiplas instâncias. Utilizou dois conjuntos de dados públicos com um total de 17.251 pacientes, alcançando AUCs entre 0.789 e 0.851. No entanto, não há validação externa em coorte clínica real."
2026,Deep learning synthesis of DBT features from mammography for breast cancer diagnosis.,"Fan M, Wang L, Wang J, He S, Li Z, You C, Gu Y, Li L","European journal of radiology - Volume 194, Issue , pp. 112486 - published 2026-01-01",10.1016/j.ejrad.2025.112486,https://pubmed.ncbi.nlm.nih.gov/41151435/,"O estudo não atende ao critério de robustez amostral, pois possui apenas 806 amostras, o que é inferior a 1.000 mamografias.","O estudo propõe um modelo de síntese de características de tomossíntese digital (DBT) a partir de mamografias digitais (DM) para melhorar o diagnóstico de câncer de mama. Utilizando uma rede neural baseada em ResNet, o modelo alcançou uma AUC de 0.916. No entanto, o número total de amostras foi de apenas 806, o que não atende aos critérios de inclusão."
2026,A deep learning framework for breast cancer diagnosis using Swin Transformer and Dual-Attention Multi-scale Fusion Network.,"Aldawsari MA, Aldosari SJ, Ismail A, Emam MM","Scientific reports - Volume 16, Issue 1, pp.  - published 2026-03-12",10.1038/s41598-026-37969-y,https://pubmed.ncbi.nlm.nih.gov/41813686/,O estudo utiliza exclusivamente bancos de dados públicos antigos (MIAS e CBIS-DDSM) sem validação em coorte clínica real.,"O artigo propõe uma arquitetura híbrida chamada Swin-DAMFN para a classificação de câncer de mama em mamografias, combinando um Transformer e uma rede CNN. O estudo relata altas taxas de precisão e sensibilidade em dois conjuntos de dados públicos, mas não realiza validação externa em coorte clínica."
2026,Different BI-RADS breast cancer diagnosis using MobileNetV1 and vision transformer based on explainable artificial intelligence (XAI).,"Abdelsabour I, Elgarayhi A, Sallah M, Elmogy M","Scientific reports - Volume 16, Issue 1, pp. 7190 - published 2026-02-17",10.1038/s41598-026-37199-2,https://pubmed.ncbi.nlm.nih.gov/41702964/,"O estudo utiliza um banco de dados público (KAUBC) sem validação em uma coorte clínica real, o que não atende ao critério de validação externa.","O estudo apresenta uma estrutura híbrida de aprendizado profundo para classificação multi-classe de câncer de mama usando imagens mamográficas. O modelo combina MobileNetV1 e Vision Transformer, alcançando alta precisão, sensibilidade e especificidade. No entanto, a validação foi realizada apenas em um conjunto de dados público, sem validação externa."
2026,Morphological and textural descriptors analysis of digital mammograms with radiological findings to support breast cancer detection using artificial neural networks.,"Trujillo-Zamudio FE, Palma-Garzón MV, Hernández-Campos ME, León-Marroquín EY, Márquez-Flores JA","Biomedical physics & engineering express - Volume 12, Issue 1, pp.  - published 2026-01-06",10.1088/2057-1976/ae2f65,https://pubmed.ncbi.nlm.nih.gov/41418324/,"O estudo não possui um número suficiente de mamografias para validação externa, com apenas 33 mamografias testadas externamente.","O estudo analisa mamografias digitais utilizando descritores morfológicos e texturais com redes neurais artificiais para detecção de câncer de mama. O conjunto de dados incluiu 216 mamografias de um hospital e 33 mamografias de um instituto nacional para teste externo. Embora tenha alcançado uma AUC de 0.953 em testes internos, o desempenho externo foi significativamente inferior, com AUC de 0.509."
2025,"Artificial intelligence-assisted ultrasound screening for breast cancer in China: a prospective, clustered, controlled, population-based study.","Shen J, Liu Y, Liu A, Gu X, Zhou J, Jiang P, Mo M, Zhang L, Yang C, Zhou C, Wang Z, Xie Z, Yao W, Zhou S, Zheng Y, Chang C","Breast cancer research : BCR - Volume 27, Issue 1, pp. 173 - published 2025-10-07",10.1186/s13058-025-02128-0,https://pubmed.ncbi.nlm.nih.gov/41057952/,"O estudo não utiliza mamografia como método de triagem, focando apenas em ultrassom, o que não atende aos critérios de inclusão.","O estudo avaliou a eficácia da triagem de câncer de mama assistida por inteligência artificial (IA) usando ultrassom em uma população na China. Com 21.790 participantes, o grupo com triagem assistida por IA apresentou maior sensibilidade de detecção de câncer em comparação ao grupo de triagem rotineira. No entanto, o estudo não envolve mamografia, que é o foco requerido."
2025,Evaluation of a Mammography-based Deep Learning Model for Breast Cancer Risk Prediction in a Triennial Screening Program.,"Rothwell JWD, Rogers P, Payne NR, Huang Y, Kaggie JD, Hickman SE, Kilburn-Toppin F, Kasmai B, Juette A, Gilbert FJ","Radiology - Volume 317, Issue 1, pp. e250391 - published 2025-10-01",10.1148/radiol.250391,https://pubmed.ncbi.nlm.nih.gov/41147910/,"O estudo não apresenta validação externa independente, pois todos os dados foram coletados de um único programa de triagem no Reino Unido.","O estudo avaliou a capacidade preditiva de um algoritmo de aprendizado profundo (Mirai) para identificar cânceres de intervalo em um programa de triagem mamográfica trienal no Reino Unido. Foram analisadas 134.217 mamografias, com uma taxa de AUC de 0,72 para previsões de câncer de intervalo em 1 ano. O estudo concluiu que o algoritmo poderia identificar mulheres para triagens mais frequentes."
2025,Preferences for the Use of Artificial Intelligence for Breast Cancer Screening in Australia: A Discrete Choice Experiment.,"Woode ME, De Silva Perera U, Degeling C, Aquino YSJ, Houssami N, Carter SM, Chen G","The patient - Volume 18, Issue 5, pp. 495-510 - published 2025-09-01",10.1007/s40271-025-00742-w,https://pubmed.ncbi.nlm.nih.gov/40347323/,"O estudo não aborda a validação de um modelo de IA em mamografias, focando apenas nas preferências dos consumidores sobre o uso da IA, sem desfechos clínicos relevantes.","Este estudo investigou as preferências de mulheres australianas em relação ao uso de inteligência artificial na triagem de câncer de mama, utilizando experimentos de escolha discreta. Os resultados mostraram que as participantes preferiam um método de leitura mista (radiologista + sistema de IA) e valorizavam menos casos perdidos e um tempo de espera mais curto para resultados."
2025,Artificial intelligence reading digital mammogram: enhancing detection and differentiation of suspicious microcalcifications.,"Mansour S, Mokhtar O, Abd El Galil MSM, Taha SN, Shetat OMM","The British journal of radiology - Volume 98, Issue 1166, pp. 246-253 - published 2025-02-01",10.1093/bjr/tqae220,https://pubmed.ncbi.nlm.nih.gov/39471486/,"O estudo não atende ao critério de robustez amostral, com apenas 447 pacientes, e não apresenta validação externa.","O estudo investiga o impacto da inteligência artificial na detecção de microcalcificações em mamografias digitais. A análise foi retrospectiva e incluiu 447 pacientes, mostrando uma sensibilidade de 94,7% na detecção de microcalcificações malignas. Apesar de a IA ter melhorado a sensibilidade, um leitor humano ainda é necessário para a especificação adequada."
